,Player,From,To,Pos,Ht,Wt,Birth Date,Colleges
6,Ersan Ilyasova,2007,2019,F,6-10,235,"May 15, 1987",
7,Darrall Imhoff,1961,1972,C,6-10,220,"October 11, 1938",University of California
8,Tom Ingelsby,1974,1976,G,6-3,180,"February 12, 1951",Villanova University
9,Joe Ingles,2015,2019,F-G,6-8,226,"October 2, 1987",
10,Damien Inglis,2016,2016,F,6-8,246,"May 20, 1995",
11,Andre Ingram,2018,2019,G,6-3,190,"November 19, 1985",American University
12,Brandon Ingram,2017,2019,F,6-9,190,"September 2, 1997",Duke University
13,McCoy Ingram,1958,1958,F,6-8,210,"August 31, 1931",Jackson State University
14,Ervin Inniger,1968,1969,G,6-4,190,"January 16, 1945",Indiana University
15,Byron Irvin,1990,1993,G,6-5,190,"December 2, 1966","University of Arkansas, University of Missouri"
16,George Irvine,1971,1976,F-G,6-6,200,"February 1, 1948",University of Washington
17,Kyrie Irving,2012,2019,G,6-3,193,"March 23, 1992",Duke University
18,Jonathan Isaac,2018,2019,F,6-10,210,"October 3, 1997",Florida State University
19,Dan Issel*,1971,1985,C-F,6-9,235,"October 25, 1948",University of Kentucky
20,Mike Iuzzolino,1992,1993,G,5-10,175,"January 22, 1968","Pennsylvania State University, Saint Francis University"
21,Allen Iverson*,1997,2010,G,6-0,165,"June 7, 1975",Georgetown University
22,Willie Iverson,1969,1969,G,6-0,180,"October 8, 1945",Central Michigan University
23,Royal Ivey,2005,2014,G,6-3,200,"December 20, 1981",University of Texas at Austin
24,Elvin Ivory,1969,1969,F,6-8,210,"July 2, 1948",University of Louisiana at Lafayette
25,Wesley Iwundu,2018,2019,F,6-7,195,"December 20, 1994",Kansas State University
0,Warren Jabali,1969,1975,G-F,6-2,200,"August 29, 1946",Wichita State University
1,Jarrett Jack,2006,2018,G,6-3,200,"October 28, 1983",Georgia Institute of Technology
2,Aaron Jackson,2018,2018,G,6-4,185,"May 6, 1986",Duquesne University
3,Al Jackson,1968,1968,G,6-1,185,"July 29, 1943",Wilberforce University
4,Bobby Jackson,1998,2009,G,6-1,185,"March 13, 1973",University of Minnesota
5,Cedric Jackson,2010,2010,G,6-3,191,"March 5, 1986","St. John's University, Cleveland State University"
6,Darnell Jackson,2009,2011,F,6-9,253,"November 7, 1985",University of Kansas
7,Demetrius Jackson,2017,2019,G,6-1,201,"September 7, 1994",University of Notre Dame
8,Frank Jackson,2019,2019,G,6-3,205,"May 4, 1998",Duke University
9,Greg Jackson,1975,1975,G,6-0,180,"August 2, 1952",Guilford College
10,Jaren Jackson,1990,2002,G-F,6-4,190,"October 27, 1967",Georgetown University
11,Jaren Jackson,2019,2019,F,6-11,242,"September 15, 1999",Michigan State University
12,Jermaine Jackson,2000,2006,G,6-4,204,"June 7, 1976",University of Detroit Mercy
13,Jim Jackson,1993,2006,G,6-6,220,"October 14, 1970",Ohio State University
14,Josh Jackson,2018,2019,F-G,6-8,200,"February 10, 1997",University of Kansas
15,Justin Jackson,2018,2019,G-F,6-8,210,"March 28, 1995",University of North Carolina
16,Luke Jackson,1965,1972,F-C,6-9,240,"October 31, 1941",University of Texas-Pan American
17,Luke Jackson,2005,2008,F,6-7,215,"November 6, 1981",University of Oregon
18,Marc Jackson,2001,2007,C,6-10,270,"January 16, 1975","Virginia Commonwealth University, Temple University"
19,Mark Jackson,1988,2004,G,6-1,180,"April 1, 1965",St. John's University
20,Mervin Jackson,1969,1973,G,6-3,175,"August 15, 1946",University of Utah
21,Michael Jackson,1988,1990,G,6-2,183,"July 13, 1964",Georgetown University
22,Mike Jackson,1973,1976,F,6-7,215,"July 31, 1949","California State University, Los Angeles"
23,Myron Jackson,1987,1987,G,6-3,185,"May 6, 1964",University of Arkansas at Little Rock
24,Phil Jackson*,1968,1980,F-C,6-8,220,"September 17, 1945",University of North Dakota
25,Pierre Jackson,2017,2017,G,5-10,180,"August 29, 1991",Baylor University
26,Ralph Jackson,1985,1985,G,6-2,190,"October 26, 1962","University of California, Los Angeles"
27,Randell Jackson,1999,2000,F,6-11,215,"January 16, 1976",Florida State University
28,Reggie Jackson,2012,2019,G,6-3,208,"April 16, 1990",Boston College
29,Stanley Jackson,1994,1994,G,6-3,185,"October 10, 1970",University of Alabama at Birmingham
30,Stephen Jackson,2001,2014,F-G,6-8,218,"April 5, 1978",Butler County Community College
31,Tony Jackson,1968,1969,F-G,6-4,200,"November 7, 1942",St. John's University
32,Tony Jackson,1981,1981,G,6-0,170,"January 17, 1958",Florida State University
33,Tracy Jackson,1982,1984,G-F,6-6,205,"April 21, 1959",University of Notre Dame
34,Wardell Jackson,1975,1975,F,6-7,200,"July 18, 1951",Ohio State University
35,Fred Jacobs,1947,1947,F,6-3,175,"December 2, 1922",University of Denver
36,Casey Jacobsen,2003,2008,G-F,6-6,215,"March 19, 1981",Stanford University
37,Sam Jacobson,1999,2001,G-F,6-4,215,"July 22, 1975",University of Minnesota
38,Dave Jamerson,1991,1994,G-F,6-5,190,"August 13, 1967",Ohio University
39,Aaron James,1975,1979,F,6-8,210,"October 5, 1952",Grambling State University
40,Bernard James,2013,2015,C,6-10,240,"February 7, 1985",Florida State University
41,Billy James,1974,1974,G,6-3,185,"February 11, 1950",Marshall University
42,Damion James,2011,2014,G-F,6-7,225,"October 7, 1987",University of Texas at Austin
43,Gene James,1949,1951,F,6-4,180,"February 15, 1925",Marshall University
44,Henry James,1991,1998,F,6-8,220,"July 29, 1965","South Plains College, St. Mary's University"
45,Jerome James,1999,2009,C,7-0,300,"November 17, 1975",Florida Agricultural and Mechanical University
46,LeBron James,2004,2019,F-G,6-8,250,"December 30, 1984",
47,Mike James,2002,2014,G,6-2,188,"June 23, 1975",Duquesne University
48,Mike James,2018,2018,G,6-1,189,"August 18, 1990",Lamar University
49,Tim James,2000,2002,F,6-7,212,"December 26, 1976",University of Miami
50,Antawn Jamison,1999,2014,F,6-8,223,"June 12, 1976",University of North Carolina
51,Harold Jamison,2000,2002,F,6-8,260,"November 20, 1976",Clemson University
52,John Janisch,1947,1948,F-G,6-3,200,"March 15, 1920",Valparaiso University
53,Howie Janotta,1950,1950,F,6-3,185,"October 19, 1924",Seton Hall University
54,Marko Jaric,2003,2009,G,6-7,198,"October 12, 1978",
55,Tony Jaros,1947,1951,F-G,6-3,185,"February 22, 1920",University of Minnesota
56,Jim Jarvis,1968,1969,G,6-1,175,"March 3, 1943",Oregon State University
57,Sarunas Jasikevicius,2006,2007,G,6-4,195,"March 5, 1976",University of Maryland
58,Nathan Jawai,2009,2010,C-F,6-10,280,"October 10, 1986",Midland College
59,Buddy Jeannette*,1948,1950,G,5-11,175,"September 15, 1917",Washington & Jefferson College
60,Abdul Jeelani,1980,1981,F-C,6-8,210,"February 10, 1954",University of Wisconsin-Parkside
61,Chris Jefferies,2003,2004,G-F,6-8,225,"February 13, 1980","University of Arkansas, California State University, Fresno"
62,Othyus Jeffers,2010,2014,G,6-5,200,"August 5, 1985","University of Illinois at Chicago, Robert Morris University (IL)"
63,Al Jefferson,2005,2018,C-F,6-10,289,"January 4, 1985",
64,Amile Jefferson,2019,2019,F,6-9,222,"May 7, 1993",Duke University
65,Cory Jefferson,2015,2016,F,6-9,218,"December 26, 1990",Baylor University
66,Dontell Jefferson,2009,2009,G,6-5,195,"December 15, 1983",University of Arkansas
67,Richard Jefferson,2002,2018,F,6-7,233,"June 21, 1980",University of Arizona
68,Jared Jeffries,2003,2013,F,6-11,230,"November 25, 1981",Indiana University
69,Charles Jenkins,2012,2013,G,6-3,220,"February 28, 1989",Hofstra University
70,Horace Jenkins,2005,2005,G,6-1,180,"October 14, 1974",William Paterson University
71,John Jenkins,2013,2019,G,6-4,215,"March 6, 1991",Vanderbilt University
72,Brandon Jennings,2010,2018,G,6-1,170,"September 23, 1989",
73,Keith Jennings,1993,1995,G,5-7,160,"November 2, 1968",East Tennessee State University
74,Chris Jent,1994,1997,F,6-7,220,"January 11, 1970",Ohio State University
75,Les Jepsen,1991,1992,C,7-0,237,"June 24, 1967",University of Iowa
76,Jonas Jerebko,2010,2019,F,6-10,231,"March 2, 1987",
77,Grant Jerrett,2015,2015,F,6-10,235,"July 8, 1993",University of Arizona
78,Eugene Jeter,2011,2011,G,5-11,175,"December 2, 1983",University of Portland
79,Hal Jeter,1970,1970,G,6-3,190,"May 17, 1945",Drake University
80,Yi Jianlian,2008,2012,F,7-0,240,"October 27, 1987",
81,Britton Johnsen,2004,2005,F,6-10,210,"July 8, 1979",University of Utah
82,Alexander Johnson,2007,2008,F,6-9,240,"February 8, 1983",Florida State University
83,Alize Johnson,2019,2019,F,6-9,212,"April 22, 1996",Missouri State
84,Amir Johnson,2006,2019,F-C,6-9,240,"May 1, 1987",
85,Andy Johnson,1959,1962,F-G,6-5,215,"November 8, 1932",University of Portland
86,Anthony Johnson,1998,2010,G,6-3,190,"October 2, 1974",College of Charleston
87,Armon Johnson,2011,2012,G,6-3,195,"February 23, 1989","University of Nevada, Reno"
88,Arnie Johnson,1949,1953,F-C,6-5,236,"May 16, 1920",Bemidji State University
89,Avery Johnson,1989,2004,G,5-10,175,"March 25, 1965","Cameron University, Southern University and A&M College"
90,B.J. Johnson,2019,2019,G,6-7,200,"December 21, 1995","Syracuse University, La Salle University"
91,Brice Johnson,2017,2018,F,6-10,230,"June 27, 1994",University of North Carolina
92,Buck Johnson,1987,1993,F,6-7,190,"January 3, 1964",University of Alabama
93,Carldell Johnson,2012,2012,G,5-10,180,"January 28, 1983",University of Alabama at Birmingham
94,Charles Johnson,1973,1979,G,6-0,170,"March 31, 1949",University of California
95,Cheese Johnson,1980,1980,F-G,6-6,195,"September 7, 1957",Wichita State University
96,Chris Johnson,2011,2013,C,6-11,210,"July 15, 1985",Louisiana State University
97,Chris Johnson,2013,2016,F-G,6-6,206,"April 29, 1990",University of Dayton
98,Clay Johnson,1982,1984,G,6-4,175,"July 18, 1956",University of Missouri
99,Clemon Johnson,1979,1988,C-F,6-10,240,"September 12, 1956",Florida Agricultural and Mechanical University
100,Dakari Johnson,2018,2018,C,7-0,255,"September 22, 1995",University of Kentucky
101,Darryl Johnson,1996,1996,G,6-1,170,"October 26, 1965",Michigan State University
102,Dave Johnson,1993,1994,G-F,6-7,210,"November 16, 1970",Syracuse University
103,DeMarco Johnson,2000,2000,F,6-9,245,"October 6, 1975",University of North Carolina at Charlotte
104,Dennis Johnson*,1977,1990,G,6-4,185,"September 18, 1954",Pepperdine University
105,DerMarr Johnson,2001,2008,F,6-9,201,"May 5, 1980",University of Cincinnati
106,Ed Johnson,1969,1971,C,6-8,205,"June 17, 1944",Tennessee State University
107,Eddie Johnson,1978,1987,G,6-2,180,"February 24, 1955",Auburn University
108,Eddie Johnson,1982,1999,F-G,6-7,215,"May 1, 1959",University of Illinois at Urbana-Champaign
109,Eric Johnson,1990,1990,G,6-2,205,"February 7, 1966","Baylor University, University of Nebraska"
110,Ervin Johnson,1994,2006,C,6-11,245,"December 21, 1967",University of New Orleans
111,Frank Johnson,1982,1994,G,6-1,185,"November 23, 1958",Wake Forest University
112,George Johnson,1971,1974,C,6-11,245,"June 19, 1947",Stephen F. Austin State University
113,George Johnson,1973,1986,C-F,6-11,205,"December 18, 1948",Dillard University
114,George Johnson,1979,1986,F-C,6-7,210,"December 8, 1956",St. John's University
115,Gus Johnson*,1964,1973,F-C,6-6,230,"December 13, 1938",University of Idaho
116,Harold Johnson,1947,1947,C,6-6,240,"January 30, 1920",Indiana State University
117,Ivan Johnson,2012,2013,F,6-8,230,"April 10, 1984","University of Oregon, California State University, San Bernardino"
118,JaJuan Johnson,2012,2012,F,6-10,221,"February 8, 1989",Purdue University
119,James Johnson,2010,2019,F,6-8,240,"February 20, 1987",Wake Forest University
120,Joe Johnson,2002,2018,G-F,6-7,240,"June 29, 1981",University of Arkansas
121,John Johnson,1971,1982,F,6-7,200,"October 18, 1947",University of Iowa
122,Kannard Johnson,1988,1988,F,6-9,220,"June 24, 1965",Western Kentucky University
123,Ken Johnson,1986,1986,F,6-8,240,"November 7, 1962","University of Southern California, Michigan State University"
124,Ken Johnson,2003,2003,F-C,6-11,240,"February 1, 1978",Ohio State University
125,Kevin Johnson,1988,2000,G,6-1,180,"March 4, 1966",University of California
126,Larry Johnson,1978,1978,G,6-3,205,"November 28, 1954",University of Kentucky
127,Larry Johnson,1992,2001,F,6-6,250,"March 14, 1969","University of Nevada, Las Vegas"
128,Lee Johnson,1981,1981,F,6-11,205,"June 16, 1957","University of Montana, East Texas State University"
129,Linton Johnson,2004,2009,F,6-8,205,"June 13, 1980",Tulane University
130,Magic Johnson*,1980,1996,G-F,6-9,215,"August 14, 1959",Michigan State University
131,Marques Johnson,1978,1990,F-G,6-7,218,"February 8, 1956","University of California, Los Angeles"
132,Mickey Johnson,1975,1986,F,6-10,190,"August 31, 1952",Aurora University
133,Neil Johnson,1967,1973,F-C,6-7,220,"April 17, 1943",Creighton University
134,Nick Johnson,2015,2015,G,6-3,202,"December 22, 1992",University of Arizona
135,Ollie Johnson,1973,1982,F,6-6,200,"May 11, 1949",Temple University
136,Omari Johnson,2018,2018,F,6-9,220,"November 26, 1989",Oregon State University
137,Orlando Johnson,2013,2016,G,6-5,220,"March 11, 1989","Loyola Marymount University, University of California, Santa Barbara"
138,Ralph Johnson,1950,1953,G,5-11,170,"December 6, 1921",Huntington University
139,Reggie Johnson,1981,1984,F-C,6-9,205,"June 25, 1957",University of Tennessee
140,Rich Johnson,1969,1971,C,6-7,210,"December 18, 1946",Grambling State University
141,Ron Johnson,1961,1961,F,6-8,215,"July 20, 1938",University of Minnesota
142,Stanley Johnson,2016,2019,F,6-7,245,"May 29, 1996",University of Arizona
143,Steffond Johnson,1987,1987,F,6-8,240,"November 4, 1962","Louisiana State University, San Diego State University"
144,Steve Johnson,1982,1991,C-F,6-10,235,"November 3, 1957",Oregon State University
145,Stew Johnson,1968,1976,F-C,6-8,220,"August 19, 1944",Murray State University
146,Trey Johnson,2009,2012,G,6-5,218,"August 30, 1984","Alcorn State University, Jackson State University"
147,Tyler Johnson,2015,2019,G,6-4,190,"May 7, 1992","California State University, Fresno"
148,Vinnie Johnson,1980,1992,G,6-2,200,"September 1, 1956",Baylor University
149,Wesley Johnson,2011,2019,F-G,6-7,215,"July 11, 1987","Iowa State University, Syracuse University"
150,Darius Johnson-Odom,2013,2014,G,6-2,215,"September 28, 1989",Marquette University
151,Nate Johnston,1990,1990,F,6-8,210,"December 18, 1966",University of Tampa
152,Neil Johnston*,1952,1959,C,6-8,210,"February 4, 1929",Ohio State University
153,Jim Johnstone,1983,1983,C-F,6-11,245,"September 20, 1960",Wake Forest University
154,Nikola Jokic,2016,2019,C-F,7-0,250,"February 19, 1995",
155,Howie Jolliff,1961,1963,F-C,6-7,218,"July 20, 1938",Ohio University
156,Alvin Jones,2002,2002,C,6-11,265,"September 9, 1978",Georgia Institute of Technology
157,Anthony Jones,1987,1990,G-F,6-6,195,"September 13, 1962","Georgetown University, University of Nevada, Las Vegas"
158,Askia Jones,1995,1995,G,6-5,200,"December 3, 1971",Kansas State University
159,Bill Jones,1989,1989,F,6-7,175,"March 18, 1966",University of Iowa
160,Bobby Jones*,1975,1986,F,6-9,210,"December 18, 1951",University of North Carolina
161,Bobby Jones,2007,2008,F,6-7,215,"January 9, 1984",University of Washington
162,Caldwell Jones,1974,1990,C-F,6-11,217,"August 4, 1950",Albany State University
163,Charles Jones,1984,1998,F-C,6-9,215,"April 3, 1957",Albany State University
164,Charles Jones,1985,1989,F,6-8,215,"January 12, 1962",University of Louisville
165,Charles Jones,1999,2000,G,6-3,180,"July 17, 1975","Rutgers University, Long Island University"
166,Collis Jones,1972,1975,F,6-7,203,"July 3, 1949",University of Notre Dame
167,Dahntay Jones,2004,2017,G-F,6-6,225,"December 27, 1980","Rutgers University, Duke University"
168,Damian Jones,2017,2019,F-C,7-0,245,"June 30, 1995",Vanderbilt University
169,Damon Jones,1999,2009,G,6-3,185,"August 25, 1976",University of Houston
170,DeQuan Jones,2013,2013,F,6-8,221,"June 20, 1990",University of Miami
171,Derrick Jones,2017,2019,F,6-7,200,"February 15, 1997","University of Nevada, Las Vegas"
172,Dominique Jones,2011,2013,G,6-4,215,"October 15, 1988",University of South Florida
173,Dontae' Jones,1998,1998,F,6-8,220,"June 2, 1975","Northeast Mississippi Community College, Mississippi State University"
174,Dwayne Jones,2006,2010,F-C,6-11,250,"June 9, 1983",Saint Joseph's University
175,Dwight Jones,1974,1983,F-C,6-10,210,"February 27, 1952",University of Houston
176,Earl Jones,1985,1986,C,7-0,210,"January 13, 1961",University of the District of Columbia
177,Eddie Jones,1995,2008,G-F,6-6,190,"October 20, 1971",Temple University
178,Edgar Jones,1981,1986,F-C,6-10,225,"June 17, 1956","University of Nevada, Reno"
179,Fred Jones,2003,2009,G-F,6-4,210,"March 11, 1979",University of Oregon
180,Hutch Jones,1983,1984,F,6-8,190,"September 1, 1959","State University of New York College at Buffalo, Vanderbilt University"
181,Jake Jones,1972,1972,G,6-3,180,"May 9, 1949",Assumption College
182,Jalen Jones,2018,2019,G,6-7,220,"May 27, 1993",Texas A&M University
183,James Jones,2004,2017,F-G,6-8,218,"October 4, 1980",University of Miami
184,Jemerrio Jones,2019,2019,F,6-5,174,"April 9, 1995","Hill College, New Mexico State University"
185,Jimmy Jones,1968,1977,G,6-4,188,"January 1, 1945",Grambling State University
186,Johnny Jones,1968,1969,F,6-7,205,"March 12, 1943","California State University, Los Angeles"
187,Jumaine Jones,2000,2007,F,6-8,218,"February 10, 1979",University of Georgia
188,K.C. Jones*,1959,1967,G,6-1,200,"May 25, 1932",University of San Francisco
189,Kevin Jones,2013,2013,F,6-8,251,"August 25, 1989",West Virginia University
190,Larry Jones,1965,1974,G-F,6-2,180,"September 22, 1942",University of Toledo
191,Major Jones,1980,1985,F,6-9,225,"July 9, 1953",Albany State University
192,Mark Jones,1984,1984,G,6-1,175,"April 10, 1961",St. Bonaventure University
193,Mark Jones,2005,2005,G,6-6,215,"May 25, 1975","University of Minnesota, University of Central Florida"
194,Nick Jones,1968,1973,G,6-2,190,"March 28, 1945",University of Oregon
195,Ozell Jones,1985,1986,C-F,6-11,235,"November 20, 1960","Wichita State University, California State University, Fullerton"
196,Perry Jones,2013,2015,F,6-11,235,"September 24, 1991",Baylor University
197,Popeye Jones,1994,2004,F,6-8,250,"June 17, 1970",Murray State University
198,Rich Jones,1970,1977,F-C,6-6,220,"December 27, 1946",University of Memphis
199,Robin Jones,1977,1978,F-C,6-9,225,"February 2, 1954",Saint Louis University
200,Sam Jones*,1958,1969,G-F,6-4,198,"June 24, 1933",North Carolina Central University
201,Shelton Jones,1989,1989,F,6-9,210,"April 6, 1966",St. John's University
202,Solomon Jones,2007,2014,F,6-10,230,"July 16, 1984",University of South Florida
203,Steve Jones,1968,1976,G-F,6-5,205,"October 17, 1942",University of Oregon
204,Terrence Jones,2013,2019,F,6-9,252,"January 9, 1992",University of Kentucky
205,Tyus Jones,2016,2019,G,6-2,196,"May 10, 1996",Duke University
206,Wah Wah Jones,1950,1952,F,6-4,225,"July 14, 1926",University of Kentucky
207,Wali Jones,1965,1976,G,6-2,180,"February 14, 1942",Villanova University
208,Wil Jones,1970,1978,F,6-8,205,"February 27, 1947",Albany State University
209,Willie Jones,1961,1965,G,6-3,185,"June 29, 1936",Northwestern University
210,Adonis Jordan,1994,1999,G,5-11,170,"August 21, 1970",University of Kansas
211,Charles Jordan,1976,1976,F,6-8,220,"January 31, 1954",Canisius College
212,DeAndre Jordan,2009,2019,C,6-11,265,"July 21, 1988",Texas A&M University
213,Eddie Jordan,1978,1984,G,6-1,170,"January 29, 1955",Rutgers University
214,Jerome Jordan,2012,2015,C,7-0,253,"September 29, 1986",University of Tulsa
215,Michael Jordan*,1985,2003,G-F,6-6,195,"February 17, 1963",University of North Carolina
216,Reggie Jordan,1994,2000,G,6-4,195,"January 26, 1968",New Mexico State University
217,Thomas Jordan,1993,1993,F-C,6-10,220,"May 23, 1968",Oklahoma State University
218,Walter Jordan,1981,1981,F,6-7,198,"February 19, 1956",Purdue University
219,Phil Jordon,1957,1963,C-F,6-10,205,"September 12, 1933",Whitworth
220,Johnny Jorgensen,1948,1949,G-F,6-2,185,"December 28, 1921",DePaul University
221,Noble Jorgensen,1947,1953,C,6-9,228,"May 18, 1925",University of Iowa
222,Roger Jorgensen,1947,1947,C-F,6-5,200,"September 2, 1920",Ohio State University
223,Cory Joseph,2012,2019,G,6-3,193,"August 20, 1991",University of Texas at Austin
224,Garth Joseph,2001,2001,C,7-2,315,"August 8, 1973",College of Saint Rose
225,Kris Joseph,2013,2013,F,6-7,210,"December 17, 1988",Syracuse University
226,Yvon Joseph,1986,1986,C,6-11,245,"October 31, 1957",Georgia Institute of Technology
227,Kevin Joyce,1974,1976,G,6-3,190,"June 27, 1951",University of South Carolina
228,Butch Joyner,1969,1969,F,6-5,200,"April 26, 1945",Indiana University
229,Jeff Judkins,1979,1983,G-F,6-6,185,"March 23, 1956",University of Utah
0,Whitey Kachan,1949,1949,G,6-2,175,"September 15, 1925",DePaul University
1,George Kaftan,1949,1953,F,6-3,190,"February 22, 1928",College of the Holy Cross
2,Ed Kalafat,1955,1957,C-F,6-6,245,"October 13, 1932",University of Minnesota
3,Chris Kaman,2004,2016,C,7-0,265,"April 28, 1982",Central Michigan University
4,Frank Kaminsky,2016,2019,F-C,7-0,242,"April 4, 1993",University of Wisconsin
5,Enes Kanter,2012,2019,C,6-11,250,"May 20, 1992",
6,Ralph Kaplowitz,1947,1948,G-F,6-2,170,"May 18, 1919",New York University
7,Jason Kapono,2004,2012,F,6-8,213,"February 4, 1981","University of California, Los Angeles"
8,Tony Kappen,1947,1947,G,5-10,165,"April 13, 1919",
9,Sergey Karasev,2014,2016,G-F,6-7,208,"October 26, 1993",
10,Coby Karl,2008,2010,G,6-5,215,"March 6, 1983",Boise State University
11,George Karl,1974,1978,G,6-2,190,"May 12, 1951",University of North Carolina
12,Ed Kasid,1947,1947,G,5-11,185,"August 13, 1923",
13,Mario Kasun,2005,2006,C,7-1,260,"April 5, 1980",
14,Leo Katkaveck,1949,1950,G,6-0,185,"April 17, 1923",North Carolina State University
15,Bob Kauffman,1969,1975,F-C,6-8,240,"July 13, 1946",Guilford College
16,Sasha Kaun,2016,2016,C,6-11,260,"May 8, 1985",University of Kansas
17,Wilbert Kautz,1947,1947,G-F,6-0,180,"September 7, 1915",Loyola University of Chicago
18,Clarence Kea,1981,1982,F,6-6,218,"February 2, 1959",Lamar University
19,Mike Kearns,1955,1955,G,6-2,178,"June 18, 1929",Princeton University
20,Tommy Kearns,1959,1959,G,5-11,185,"October 6, 1936",University of North Carolina
21,Adam Keefe,1993,2001,F,6-9,230,"February 22, 1970",Stanford University
22,Harold Keeling,1986,1986,G,6-4,185,"September 18, 1963",Santa Clara University
23,Bill Keller,1970,1976,G,5-10,177,"August 30, 1947",Purdue University
24,Gary Keller,1968,1969,F-C,6-9,220,"June 13, 1944",University of Florida
25,Ken Keller,1947,1947,G,6-1,180,"August 16, 1922",St. John's University
26,Rich Kelley,1976,1986,C-F,7-0,235,"March 23, 1953",Stanford University
27,Clark Kellogg,1983,1987,F,6-7,225,"July 2, 1961",Ohio State University
28,Arvesta Kelly,1968,1972,G,6-2,175,"November 20, 1945",Lincoln University of Missouri
29,Jerry Kelly,1947,1948,F,6-2,172,"June 14, 1918",Marshall University
30,Ryan Kelly,2014,2017,F,6-11,230,"April 9, 1991",Duke University
31,Tom Kelly,1949,1949,G,6-0,170,"March 5, 1924",New York University
32,Greg Kelser,1980,1985,F,6-7,190,"September 17, 1957",Michigan State University
33,Ben Kelso,1974,1974,G,6-3,195,"April 11, 1949",Central Michigan University
34,Shawn Kemp,1990,2003,F-C,6-10,230,"November 26, 1969",Trinity Valley Community College
35,Tim Kempton,1987,1998,F-C,6-10,245,"January 25, 1964",University of Notre Dame
36,Frank Kendrick,1975,1975,F,6-6,198,"September 11, 1950",Purdue University
37,Luke Kennard,2018,2019,G,6-5,206,"June 24, 1996",Duke University
38,D.J. Kennedy,2012,2012,F,6-6,215,"November 5, 1989",St. John's University
39,Goo Kennedy,1972,1977,F-C,6-5,205,"August 23, 1949",Texas Christian University
40,Joe Kennedy,1969,1971,F,6-6,210,"January 12, 1947",Duke University
41,Pickles Kennedy,1961,1961,G,5-11,180,"May 17, 1938",Temple University
42,Larry Kenon,1974,1983,F,6-9,205,"December 13, 1952",University of Memphis
43,Billy Kenville,1954,1960,G-F,6-2,187,"December 1, 1930",St. Bonaventure University
44,Jonathan Kerner,1999,1999,C,6-11,245,"June 6, 1974","Florida State University, East Carolina University"
45,Red Kerr,1955,1966,C-F,6-9,230,"July 17, 1932",University of Illinois at Urbana-Champaign
46,Steve Kerr,1989,2003,G,6-3,175,"September 27, 1965",University of Arizona
47,Jack Kerris,1950,1953,F-C,6-6,215,"January 30, 1925",Loyola University of Chicago
48,Jerome Kersey,1985,2001,F,6-7,215,"June 26, 1962",Longwood University
49,Tom Kerwin,1968,1968,F,6-7,210,"July 7, 1944",Centenary College of Louisiana
50,Alec Kessler,1991,1994,F-C,6-11,230,"January 13, 1967",University of Georgia
51,Lari Ketner,2000,2001,F-C,6-9,277,"February 1, 1977",University of Massachusetts Amherst
52,Julius Keye,1970,1975,F-C,6-10,200,"September 5, 1946",Alcorn State University
53,Randolph Keys,1989,1996,F-G,6-7,195,"April 19, 1966",University of Southern Mississippi
54,Viktor Khryapa,2005,2008,F,6-9,210,"August 3, 1982",
55,Jason Kidd*,1995,2013,G,6-4,205,"March 23, 1973",University of California
56,Warren Kidd,1994,1994,F,6-9,235,"September 9, 1970",Middle Tennessee State University
57,Michael Kidd-Gilchrist,2013,2019,F,6-7,232,"September 26, 1993",University of Kentucky
58,Irv Kiffin,1980,1980,F,6-9,225,"August 8, 1951",Oklahoma Baptist University
59,Jack Kiley,1952,1953,G,6-1,170,"January 5, 1929",Syracuse University
60,Earnie Killum,1971,1971,G,6-3,180,"June 11, 1948",Stetson University
61,Carl Kilpatrick,1980,1980,C,6-10,230,"May 16, 1956",University of Louisiana at Monroe
62,Sean Kilpatrick,2015,2018,G,6-4,210,"January 6, 1990",University of Cincinnati
63,Toby Kimball,1967,1975,F-C,6-6,220,"September 7, 1942",University of Connecticut
64,Bo Kimble,1991,1993,G,6-4,190,"April 9, 1966","University of Southern California, Loyola Marymount University"
65,Stan Kimbrough,1990,1993,G,5-11,153,"April 24, 1966","University of Central Florida, Xavier University"
66,Chad Kinch,1981,1981,G,6-4,190,"May 22, 1958",University of North Carolina at Charlotte
67,Albert King,1982,1992,F-G,6-6,190,"December 17, 1959",University of Maryland
68,Bernard King*,1978,1993,F,6-7,205,"December 4, 1956",University of Tennessee
69,Chris King,1994,1999,F,6-8,215,"July 24, 1969",Wake Forest University
70,Dan King,1955,1955,F,6-6,220,"January 7, 1931",Western Kentucky University
71,Frankie King,1996,1997,G,6-1,185,"June 6, 1972",Western Carolina University
72,George King,1952,1958,G,6-0,175,"August 16, 1928",University of Charleston
73,George King,2019,2019,G-F,6-6,225,"January 15, 1994",University of Colorado
74,Gerard King,1999,2001,F,6-9,230,"November 25, 1972",Nicholls State University
75,Jim King,1964,1973,G,6-2,175,"February 7, 1941",University of Tulsa
76,Jimmy King,1996,1997,G,6-5,210,"August 9, 1973",University of Michigan
77,Loyd King,1972,1973,G,6-2,180,"May 29, 1949",Virginia Polytechnic Institute and State University
78,Maurice King,1960,1963,G,6-2,195,"March 12, 1935",University of Kansas
79,Reggie King,1980,1985,F,6-6,225,"February 14, 1957",University of Alabama
80,Rich King,1992,1995,C,7-2,260,"April 4, 1969",University of Nebraska
81,Ron King,1974,1974,G,6-4,185,"July 11, 1951",Florida State University
